,lr,ag,lc,dt,cr,rg,rc,tg,tc,cc,wd,ld,fd,dw,py,mt,mn,p1,p2,pd,pf,wk1mc,wk2mc,w1,w2,w3,w4,w5,w1t,w2t,w3t,w4t,w5t,dc,lt,ll3,ll2,ll1,d2l,d1l,lbx,sr,adj1,adj8,ad1,ad8,iw,al,ldiv,predictA
32,L2,4,B,1200,B,g2,r17,g1,t2,0,4,1,10.0,2,0,0,0.0,0,1,-1,11,0,0,0.0,0.0,0.0,0.0,22.5,False,False,False,False,True,gs,99,-10.25,-9.25,-12.25,-2.0,-3.0,-0.17,10,24.36,48.22,24.06,47.92,0.0,130,9.5,C
33,L2,4,B,1200,B,g1,r15,g1,t3,0,0,0,3.0,9,0,0,0.0,0,0,0,5,3,0,0.0,0.0,0.0,0.0,22.8,True,False,False,True,True,dd,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,129,0.0,B
34,L3,4,B,1200,B,g1,r15,g1,t3,0,0,0,3.0,9,0,0,0.0,0,0,0,5,3,0,0.0,0.0,0.0,0.0,22.8,True,False,False,True,True,dd,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,129,0.0,B
35,L1,4,B,1200,B,g1,r15,g1,t3,0,0,0,3.0,9,0,0,0.0,0,0,0,5,3,0,0.0,0.0,0.0,0.0,22.8,True,False,False,True,True,dd,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,129,0.0,B
36,L3,4,B,1200,B,g1,r13,g2,t6,0,0,0,5.7,4,0,0,0.0,0,0,0,5,0,0,0.0,0.0,0.0,0.0,22.7,False,False,True,False,True,dd,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,129,0.0,C
37,L2,4,B,1200,B,g1,r13,g2,t6,0,0,0,5.7,4,0,0,0.0,0,0,0,5,0,0,0.0,0.0,0.0,0.0,22.7,False,False,True,False,True,dd,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,129,0.0,C
38,L1,4,B,1200,B,g1,r13,g2,t6,0,0,0,5.7,4,0,0,0.0,0,0,0,5,0,0,0.0,0.0,0.0,0.0,22.7,False,False,True,False,True,dd,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,129,0.0,C
39,L1,7,B,1200,B,a1,r2,g5,t19,0,8,-4,7.7,3,0,0,0.0,-1,-12,-12,1,0,0,0.0,0.0,22.3,0.0,0.0,False,False,True,False,False,tc,81,0.75,-0.06,-16.5,-17.25,-16.44,-2.68,14,25.47,48.14,25.23,47.9,73.3,117,81.0,B
40,L2,7,B,1200,B,a1,r2,g5,t19,0,8,-13,7.7,3,0,0,0.0,1,-10,-10,3,0,0,0.0,0.0,22.3,0.0,0.0,False,False,True,False,False,tc,102,-1.75,-1.25,-6.5,-4.75,-5.25,-1.1,14,23.43,45.97,23.25,45.79,6.3,117,14.0,B
41,L3,7,B,1200,B,a1,r2,g5,t19,0,8,-14,7.7,3,0,0,0.0,-1,-7,-7,5,0,0,0.0,0.0,22.3,0.0,0.0,False,False,True,False,False,tc,145,-2.25,-2.5,-17.5,-15.25,-15.0,-3.09,12,24.94,47.09,24.82,46.97,0.0,117,6.6,B
42,L1,5,B,1200,B,g2,r18,g3,t11,0,-14,4,3.2,8,1,14,22.9,0,-1,-1,5,2,0,0.0,0.0,0.0,0.0,21.9,True,False,False,False,True,tc,25,-2.0,-1.75,-3.5,-1.5,-1.75,-0.17,8,22.72,45.57,23.14,45.99,0.0,127,4.7,A
43,L3,5,B,1200,B,g2,r18,g3,t11,0,-14,5,3.2,8,1,14,22.9,0,2,2,3,2,0,0.0,0.0,0.0,0.0,21.9,True,False,False,False,True,tc,96,-4.0,-3.0,-0.5,3.5,2.5,-0.24,6,22.56,44.85,22.68,44.97,0.0,127,7.5,A
44,L2,5,B,1200,B,g2,r18,g3,t11,0,-14,3,3.2,8,1,14,22.9,-1,0,0,5,2,0,0.0,0.0,0.0,0.0,21.9,True,False,False,False,True,tc,81,-2.5,-2.0,-5.0,-2.5,-3.0,-0.61,9,23.17,45.76,23.29,45.88,8.8,127,12.0,A
45,L1,4,B,1200,B,a3,r5,g3,t10,0,18,3,106.0,7,0,4,23.2,-1,3,3,9,0,0,0.0,0.0,0.0,0.0,22.2,False,False,False,False,True,dd,18,-4.0,-6.5,-10.0,-6.0,-3.5,-0.94,7,24.26,46.95,23.72,46.41,56.0,126,162.0,D
46,L3,4,B,1200,B,a3,r5,g3,t10,0,18,0,106.0,7,0,4,23.2,0,0,0,5,0,0,0.0,0.0,0.0,0.0,22.2,False,False,False,False,True,dd,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,126,0.0,E
47,L2,4,B,1200,B,a3,r5,g3,t10,0,18,3,106.0,7,0,4,23.2,0,2,2,11,0,0,0.0,0.0,0.0,0.0,22.2,False,False,False,False,True,dd,85,-9.5,-7.0,-5.0,4.5,2.0,-2.07,5,24.82,46.79,24.13,46.1,49.0,126,155.0,D
48,L3,5,B,1200,B,g1,r14,g3,t12,0,-7,-1,13.0,5,0,0,0.0,0,7,7,11,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,tc,102,-7.5,-5.75,-3.5,4.0,2.25,-0.1,1,22.41,44.75,22.41,44.75,111.0,125,124.0,A
49,L1,5,B,1200,B,g1,r14,g3,t12,0,-7,1,13.0,5,0,0,0.0,1,3,3,9,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,dd,18,-4.5,-6.25,-7.25,-2.75,-1.0,-0.68,5,23.07,45.64,23.28,45.85,0.0,125,18.0,A
50,L2,5,B,1200,B,g1,r14,g3,t12,0,-7,-3,13.0,5,0,0,0.0,-2,1,1,7,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,tc,81,-3.5,-3.25,-2.75,0.75,0.5,-0.41,6,22.85,45.35,22.82,45.32,0.0,125,17.0,B
51,L1,4,B,1200,B,a4,r10,g4,t15,0,-8,1,198.0,6,0,0,0.0,0,0,0,11,0,0,0.0,0.0,0.0,0.0,22.7,False,False,False,False,True,tc,11,-7.0,-7.5,-13.0,-6.0,-5.5,-1.19,12,23.32,45.66,23.56,45.9,62.0,118,260.0,E
52,L2,4,B,1200,B,a4,r10,g4,t15,0,-8,-6,198.0,6,0,0,0.0,0,0,0,11,0,0,0.0,0.0,0.0,0.0,22.7,False,False,False,False,True,gz,22,-7.25,-13.5,-16.0,-8.75,-2.5,-1.3,11,22.89,45.2,23.43,45.74,-42.0,118,156.0,E
53,L3,4,B,1200,B,a4,r10,g4,t15,0,-8,-4,198.0,6,0,0,0.0,-2,1,1,11,0,0,0.0,0.0,0.0,0.0,22.7,False,False,False,False,True,tz,88,-4.0,-5.0,-12.25,-8.25,-7.25,-2.58,11,22.27,42.65,22.84,43.22,-19.0,118,179.0,E
54,L3,5,B,1200,B,a3,r6,g2,t8,0,9,-8,101.0,10,0,0,0.0,-1,1,1,11,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,dd,113,-5.25,-5.25,-6.75,-1.5,-1.5,-0.65,8,23.11,45.93,23.23,46.05,0.0,116,31.0,A
55,L2,5,B,1200,B,a3,r6,g2,t8,0,9,-3,101.0,10,0,0,0.0,-1,1,1,11,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,dd,92,-7.5,-8.0,-16.5,-9.0,-8.5,-2.99,11,25.46,48.05,25.49,48.08,0.0,116,82.0,A
56,L1,5,B,1200,B,a3,r6,g2,t8,0,9,-1,101.0,10,0,0,0.0,-1,2,2,11,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,tc,11,-8.0,-6.75,-5.25,2.75,1.5,-0.01,7,22.84,45.43,22.57,45.16,0.0,116,58.0,A
57,L2,4,B,1200,B,g1,r15,g1,t2,1,8,2,1.2,3,0,7,23.6,2,8,8,9,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,tc,81,-6.0,-4.25,4.0,10.0,8.25,0.36,1,22.12,44.51,22.09,44.48,0.0,133,1.4,A
58,L3,4,B,1200,B,g1,r15,g1,t2,1,8,6,1.2,3,0,7,23.6,1,9,9,11,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,tc,102,-5.75,-5.75,-0.5,5.25,5.25,0.96,1,21.72,44.22,21.72,44.22,0.0,133,3.9,A
59,L1,4,B,1200,B,g1,r15,g1,t2,0,8,9,1.2,3,0,7,23.6,2,5,5,7,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,tc,18,-3.25,-2.5,1.5,4.75,4.0,0.0,1,22.76,45.01,22.52,44.77,0.0,133,1.4,A
60,L3,5,B,1200,B,a2,r7,g2,t9,0,8,0,29.0,5,0,0,0.0,0,0,0,5,0,1,0.0,0.0,0.0,0.0,23.1,False,True,False,False,True,dd,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,130,0.0,B
61,L2,5,B,1200,B,a2,r7,g2,t9,0,8,-3,29.0,5,0,0,0.0,0,-2,-8,3,0,1,0.0,0.0,0.0,0.0,23.1,False,True,False,False,True,ss,116,-1.0,-3.0,-19.5,-18.5,-16.5,-3.36,13,27.35,51.34,27.26,51.25,34.0,130,63.0,C
62,L1,5,B,1200,B,a2,r7,g2,t9,0,8,-2,29.0,5,0,0,0.0,1,-1,-12,1,0,1,0.0,0.0,0.0,0.0,23.1,False,True,False,False,True,ss,25,0.25,-0.06,-12.0,-12.25,-11.94,-2.28,14,25.42,48.38,25.18,48.14,171.0,130,200.0,C
63,L3,5,B,1200,B,g1,r13,g2,t5,0,17,2,9.0,2,1,0,0.0,0,0,8,9,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,ss,137,-7.5,-3.75,-0.5,7.0,3.25,-0.1,1,23.31,45.74,22.59,45.02,9.0,123,18.0,A
64,L1,5,B,1200,B,g1,r13,g2,t5,0,17,-2,9.0,2,1,0,0.0,0,8,8,11,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,dd,78,-7.0,-6.75,-1.0,6.0,5.75,0.29,2,22.77,45.38,22.26,44.87,0.0,123,8.4,A
65,L2,5,B,1200,B,g1,r13,g2,t5,0,17,0,9.0,2,1,0,0.0,-2,-1,-2,9,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,ss,102,-4.75,-5.25,-7.75,-3.0,-2.5,-0.3,9,23.88,47.1,23.52,46.74,3.0,123,12.0,A
66,L1,5,B,1200,B,g1,r14,g2,t8,0,0,0,5.9,1,1,0,0.0,1,4,4,7,0,0,0.0,0.0,0.0,0.0,22.2,False,False,False,False,True,tz,25,-2.5,-2.5,-2.0,0.5,0.5,-2.14,4,22.48,42.82,22.48,42.82,0.0,121,8.5,B
67,L2,5,B,1200,B,g1,r14,g2,t8,0,0,-5,5.9,1,1,0,0.0,-1,-2,-2,5,0,0,0.0,0.0,0.0,0.0,22.2,False,False,False,False,True,dd,78,-3.25,-4.5,-2.5,0.75,2.0,-0.06,8,23.03,45.88,22.76,45.61,0.0,121,6.7,B
68,L3,5,B,1200,B,g1,r14,g2,t8,0,0,-5,5.9,1,1,0,0.0,-1,-1,-1,3,0,0,0.0,0.0,0.0,0.0,22.2,False,False,False,False,True,tc,96,-1.5,-2.5,-3.5,-2.0,-1.0,-0.62,6,23.27,45.47,22.67,44.87,0.0,121,8.0,B
69,L2,4,B,1200,B,a3,r6,g3,t10,0,-6,-3,22.0,6,1,4,23.2,1,7,7,11,0,0,0.0,0.0,0.0,0.0,23.9,False,False,False,False,True,tc,81,-5.75,-4.5,-2.0,3.75,2.5,-0.01,3,22.49,44.91,22.34,44.76,119.0,116,141.0,A
70,L3,4,B,1200,B,a3,r6,g3,t10,0,-6,-5,22.0,6,1,4,23.2,0,-1,-6,3,0,0,0.0,0.0,0.0,0.0,23.9,False,False,False,False,True,ss,102,-2.0,-2.0,-6.5,-4.5,-4.5,-0.67,11,23.36,46.5,23.66,46.8,66.0,116,88.0,A
71,L1,4,B,1200,B,a3,r6,g3,t10,0,-6,-3,22.0,6,1,4,23.2,0,1,1,9,0,0,0.0,0.0,0.0,0.0,23.9,False,False,False,False,True,tc,18,-5.0,-4.25,-5.5,-0.5,-1.25,-0.59,5,22.57,44.82,22.75,45.0,0.0,116,22.0,A
72,L3,3,B,1200,B,g2,r16,g2,t5,0,1,2,32.0,7,0,0,0.0,0,9,9,11,0,0,0.0,0.0,0.0,0.0,22.1,False,False,False,False,True,tz,92,-3.0,-4.25,-4.0,-1.0,0.25,-1.75,3,22.04,42.57,22.34,42.87,0.0,116,38.0,A
73,L1,3,B,1200,B,g2,r16,g2,t5,0,1,1,32.0,7,0,0,0.0,-1,-2,-2,5,0,0,0.0,0.0,0.0,0.0,22.1,False,False,False,False,True,dd,22,-2.25,-3.5,-4.25,-2.0,-0.75,-1.15,9,23.87,46.53,23.84,46.5,0.0,116,12.0,A
74,L2,3,B,1200,B,g2,r16,g2,t5,0,1,5,32.0,7,0,0,0.0,0,1,1,7,0,0,0.0,0.0,0.0,0.0,22.1,False,False,False,False,True,tc,81,-3.0,-3.5,-2.5,0.5,1.0,0.05,5,22.74,45.44,22.8,45.5,0.0,116,23.0,A
75,L3,7,B,1200,B,g4,r29,g4,t15,0,-1,-2,41.0,4,0,0,0.0,0,-2,-2,3,0,0,0.0,0.0,0.0,0.0,22.4,False,False,False,False,True,dd,85,-2.75,-1.75,-5.5,-2.75,-3.75,-1.23,7,23.76,46.53,23.94,46.71,0.0,116,14.0,B
76,L2,7,B,1200,B,g4,r29,g4,t15,0,-1,-2,41.0,4,0,0,0.0,0,6,6,9,0,0,0.0,0.0,0.0,0.0,22.4,False,False,False,False,True,dd,22,-5.25,-6.75,-2.75,2.5,4.0,-0.1,2,22.56,45.17,22.65,45.26,0.0,116,80.0,B
77,L1,7,B,1200,B,g4,r29,g4,t15,0,-1,-3,41.0,4,0,0,0.0,2,1,1,7,0,0,0.0,0.0,0.0,0.0,22.4,False,False,False,False,True,dd,15,-6.25,-5.5,-3.75,2.5,1.75,0.18,4,22.47,45.24,22.5,45.27,0.0,116,18.0,B
78,L2,6,B,1200,B,g1,r14,g3,t12,-1,9,17,5.1,10,1,0,0.0,1,3,3,7,0,0,0.0,0.0,0.0,0.0,22.1,False,False,False,False,True,tc,81,-3.5,-3.25,-4.25,-0.75,-1.0,-0.24,5,23.44,46.07,23.38,46.01,7.9,133,13.0,B
79,L3,6,B,1200,B,g1,r14,g3,t12,0,9,0,5.1,10,1,0,0.0,1,-1,-1,3,0,0,0.0,0.0,0.0,0.0,22.1,False,False,False,False,True,dd,141,-1.25,-1.25,-0.06,1.19,1.19,-1.08,5,23.98,46.79,23.89,46.7,0.0,133,2.4,C
80,L1,6,B,1200,B,g1,r14,g3,t12,-1,9,22,5.1,10,1,0,0.0,0,-4,-4,1,0,0,0.0,0.0,0.0,0.0,22.1,False,False,False,False,True,dd,22,0.75,1.25,-5.0,-5.75,-6.25,-1.98,10,25.34,47.77,25.07,47.5,0.0,133,9.5,B
81,L2,4,B,1200,B,g1,r13,g3,t13,-1,-14,17,3.2,7,1,7,22.5,1,-7,-7,5,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,tc,81,-2.5,-1.25,-10.25,-7.75,-9.0,-1.66,12,24.88,47.35,24.64,47.11,282.8,132,286.0,C
82,L3,4,B,1200,B,g1,r13,g3,t13,-1,-14,19,3.2,7,1,7,22.5,2,0,0,11,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,dd,92,-7.75,-7.25,-10.75,-3.0,-3.5,-2.34,9,26.06,48.49,25.34,47.77,83.8,132,87.0,D
83,L1,4,B,1200,B,g1,r13,g3,t13,0,-14,0,3.2,7,1,7,22.5,0,3,3,5,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,tc,25,-3.0,-2.0,-0.5,2.5,1.5,-1.05,5,23.0,45.37,23.42,45.79,9.8,132,13.0,C
84,L3,4,B,1200,B,g2,r16,g1,t2,-1,9,9,13.0,2,0,0,0.0,1,-7,-7,3,0,0,0.0,0.0,0.0,0.0,24.0,False,False,False,False,True,dd,127,-0.5,-1.25,-13.5,-13.0,-12.25,-3.36,10,25.86,47.91,25.68,47.73,35.0,131,48.0,E
85,L2,4,B,1200,B,g2,r16,g1,t2,-1,9,21,13.0,2,0,0,0.0,0,-3,-3,5,0,0,0.0,0.0,0.0,0.0,24.0,False,False,False,False,True,gz,22,-2.0,-2.75,-5.25,-3.25,-2.5,-2.2,12,24.14,45.57,24.26,45.69,40.0,131,53.0,C
86,L1,4,B,1200,B,g2,r16,g1,t2,-1,9,18,13.0,2,0,0,0.0,-1,2,2,9,0,0,0.0,0.0,0.0,0.0,24.0,False,False,False,False,True,tc,11,-2.75,-3.75,-5.5,-2.75,-1.75,-0.5,7,23.73,46.15,23.46,45.88,68.0,131,81.0,E
87,L3,4,B,1200,B,a1,r2,g5,t21,-1,8,0,92.0,9,1,0,0.0,-2,-2,-2,11,0,0,0.0,0.0,0.0,0.0,23.0,False,False,False,False,True,tc,158,-5.75,-6.25,-12.5,-6.75,-6.25,-1.52,14,24.49,47.16,24.19,46.86,356.0,120,448.0,E
88,L2,4,B,1200,B,a1,r2,g5,t21,-1,8,2,92.0,9,1,0,0.0,-1,4,4,11,0,0,0.0,0.0,0.0,0.0,23.0,False,False,False,False,True,dd,88,-4.0,-6.75,-10.0,-6.0,-3.25,-1.27,6,24.13,47.11,24.31,47.29,0.0,120,42.0,E
