age,nameA,nameB,wdiff,ldiff,l2rwd,l2rld,l3rwd,l3rld,fd,dw,py,mtv,morn,p1,p2,pd,pf,l2p1,l2p2,l2pd,l2pf,l3p1,l3p2,l3pd,l3pf,w1btd1,w2btd1,w3btd1,w4btd1,w6btd1,wk1Bt,wk2Bt,wk3Bt,wk4Bt,wk6Bt,dc,lt,ll3,ll2,ll1,d2leng,d1leng,lbx,sr,adj1,adj8,ad1,ad8,l2adj1,l2adj8,l3adj1,l2adj8,l2itv,l2dc,l2l3,l2l2,l2l1,last2Bx,l2sk,l3dc,L3Itv,l3l3,l3l2,l3l1,last3Bx,l3sk,IWin,al,ldiv,predictA
3,蔡約翰,波健士,2,2,3,1,1147,127,2.3,1,0,NULL,NULL,-1,1,1,34,0,-3,-3,34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.3,FALSE,FALSE,FALSE,FALSE,TRUE,同程,21,-0.5,-1.25,-0.06,0.44,1.19,-0.28,6,23.03,45.66,22.97,45.6,23.88,46.55,NULL,46.55,52,NULL,-1.5,-1.5,-3.75,-1.18,9,NULL,NULL,0,0,0,NULL,NULL,NULL,127,2.9,2
6,容天鵬,梁家俊,7,-3,9,-4,19,-6,46,12,0,NULL,NULL,1,3,3,1114,0,7,7,1114,0,7,7,1114,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,同程,35,-10,-9.75,-3.75,6.25,6,-0.07,1,22.97,45.75,22.76,45.54,23.01,45.75,22.38,45.75,56,同程,-6.5,-5.5,-2.5,-0.39,1,同程,77,-8,-6.25,-3.75,0.03,1,NULL,124,8.5,6
5,羅富全,黃俊,-1,-1,-2,-12,-10,-15,74,9,0,NULL,NULL,0,-4,-4,34,-1,2,2,910,-2,2,2,78,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,普通,18,-1.25,-1.25,-7,-5.75,-5.75,-1.34,9,23.48,45.68,23.51,45.71,23.19,46.17,22.65,46.17,56,同程,-3.5,-4,-3.75,-0.57,7,同程,77,-4,-3.5,-4.5,-0.31,8,NULL,118,21,4
5,方嘉柏,史卓豐,-12,-2,-19,-2,-4,-4,12,11,0,NULL,NULL,2,0,0,78,-2,4,4,78,1,6,6,910,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,普通,18,-7.75,-5.5,-2.5,5.25,3,-0.34,4,22.01,44.1,22.37,44.46,22.43,42.98,22.21,42.98,31,田增,-1.5,-3,-7.5,-1.94,4,田增,45,-3,-3.25,-4.75,-1.7,3,NULL,123,14,11
4,韋達,田泰安,5,-1,9,1,4,0,12,5,0,NULL,NULL,0,5,5,1114,0,1,1,34,0,-2,-2,56,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,普通,10,-4,-3.75,-3.5,0.5,0.25,-0.13,4,22.91,45.57,22.76,45.42,23.26,46.32,23.51,46.32,35,同程,-2.75,-4.25,-0.5,-0.17,4,同程,42,-2.25,-3.75,-3.25,-0.48,8,NULL,121,10,5
6,文家良,蔡明紹,-4,-1,-6,-5,-4,-5,27,3,0,NULL,NULL,0,-4,-4,78,-1,1,1,34,1,-4,-4,34,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,谷增,21,-2,-3,-4.5,-2.5,-1.5,-1.03,9,22.74,44.6,22.86,44.72,22.85,44.26,22.76,44.26,42,谷增,-1,-2,-0.75,-1.59,7,谷增,63,-1.5,-1.5,-1.75,-1.07,11,NULL,120,12,7
8,葉楚航,潘明輝,26,-2,-5,-7,-24,-5,48,4,0,NULL,NULL,2,1,1,910,3,-1,-1,56,1,5,5,78,NULL,NULL,NULL,NULL,22.2,FALSE,FALSE,FALSE,FALSE,TRUE,普通,24,-5.5,-5.5,-8.5,-3,-3,-0.37,6,23.59,46.09,22.81,45.31,23.61,46.1,22.01,46.1,207,NULL,-3.25,-0.75,-3.75,-1.33,8,NULL,241,-3.5,-2.5,-0.25,0.57,2,NULL,118,25,12
3,丁冠豪,楊明綸,9,-1,10,-4,3,-5,19,7,0,NULL,NULL,1,7,7,1114,-1,0,0,1114,1,0,0,910,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,谷增,21,-3.75,-4.5,-1.25,2.5,3.25,-0.3,3,22.12,43.94,22.09,43.91,22.74,45.31,23.75,45.31,45,NULL,-4.75,-4.5,-5.5,-0.29,8,NULL,49,-5.25,-6.25,-9,-1.79,7,29,118,48,8
9,鄭俊偉,陳嘉熙,-3,-11,4,-13,5,-11,24,2,0,NULL,NULL,0,0,-4,34,2,-1,-1,56,0,2,2,910,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,縮程,21,-2.5,-3,-8.5,-6,-5.5,-0.33,11,24.01,48.11,24.1,48.2,23.01,45.96,22.62,45.96,56,同程,-3.75,-2,-4.25,-0.45,7,同程,77,-6.25,-5,-5,-0.28,5,27,110,51,9
6,高伯新,薛恩,-8,1,-14,0,2,4,20,3,0,NULL,NULL,1,-1,-1,34,1,3,3,910,0,6,6,78,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,同程,21,-4.25,-2.75,-1.25,3,1.5,-0.05,6,22.72,45.6,22.96,45.84,23.5,46.4,23.33,46.4,56,同程,-4,-4,-3.5,-0.6,5,同程,84,-2.75,-4,0.06,-0.15,5,NULL,133,14,7
4,姚本輝,周俊樂,-5,-3,5,-11,6,-10,5.8,4,0,NULL,NULL,0,-3,-3,12,-1,1,1,34,0,1,1,910,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,同程,35,-1,-2,-1.25,-0.25,0.75,-0.7,10,23.44,46.42,23.59,46.57,22.82,46.27,23.83,46.27,56,同程,-0.75,-1.25,-1.5,0.3,8,同程,84,-4.5,-4.75,-5.5,-0.77,5,NULL,122,7.2,5
4,蘇偉賢,楊明綸,3,18,-9,11,-3,11,165,6,0,NULL,NULL,0,3,3,1114,-1,2,2,1114,-1,-2,-2,910,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,普通,18,-7,-7,-7.5,-0.5,-0.5,-0.71,4,23.38,45.42,23.29,45.33,24.51,47.45,23.82,47.45,35,同程,-7.5,-8.5,-13.75,-1.24,9,同程,63,-5.5,-5.25,-6.5,-0.92,7,107,132,272,9
4,徐雨石,田泰安,-5,2,6,0,10,17,8.8,1,0,NULL,NULL,0,1,1,910,0,-1,-1,910,0,5,5,1114,22.9,NULL,NULL,NULL,NULL,TRUE,FALSE,FALSE,FALSE,FALSE,同程,42,-5.75,-6.5,-3.5,2.25,3,-0.19,5,23.01,45.92,23.16,46.07,24.15,48.61,23.48,48.61,63,縮程,-8.25,-6.75,-6.25,0.31,8,同程,70,-7.75,-8.75,-2.75,-0.81,2,7.2,130,16,4
3,羅富全,潘頓,-3,1,-15,-2,-19,3,1.9,5,0,NULL,NULL,2,0,0,34,-1,-1,-1,34,-1,3,3,56,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,普通,24,-1.5,-1,-3,-1.5,-2,-0.27,5,22.63,45.05,22.72,45.14,23.86,46.24,21.84,46.24,52,NULL,-0.25,-1,-2.75,-1.54,9,田增,73,-1.75,-2,-0.5,-1.01,4,NULL,128,2.6,1
4,葉楚航,蘇狄雄,1,-1,-5,5,12,-7,41,8,0,9,23.3,0,0,0,78,0,6,6,1114,-1,2,1,1114,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,同程,21,-4,-4,-3.25,0.75,0.75,-0.49,7,23,45.51,22.97,45.48,22.48,43.27,24.4,43.27,45,田增,-4.75,-6,-7.5,-1.54,3,NULL,67,-6.75,-4.5,-10.25,-0.13,10,NULL,124,24,3
4,方嘉柏,史卓豐,11,7,21,5,18,4,4.7,11,0,NULL,NULL,-1,8,8,910,2,5,5,78,2,-1,-1,78,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,谷增,21,-2.25,-3.75,1,3.25,4.75,-0.12,2,22.6,44.54,22.27,44.21,22.63,44.08,22.75,44.08,42,谷增,-3.25,-4.5,-0.01,-1.03,1,田增,59,-2.5,-3.5,-4.25,-1.89,8,NULL,126,4.2,2
4,蔡約翰,波健士,8,-1,3,0,11,-2,30,10,0,NULL,NULL,0,-1,-1,56,0,4,4,78,0,-1,-1,1114,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,同程,35,-4,-5.75,-2.75,1.25,3,-0.25,6,23.56,46.66,23.32,46.42,23.63,46.06,23.23,46.06,42,同程,-4.5,-4.75,-1.75,-1.2,4,同程,56,-7,-6.25,-7.75,-0.18,5,NULL,125,11,6
4,容天鵬,梁家俊,-3,-1,-6,-7,-11,-9,77,2,0,NULL,NULL,1,-2,-2,1114,1,-5,-5,56,0,-1,-1,1114,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,田增,31,-2.75,-3.75,-16,-13.25,-12.25,-3.28,13,23.63,44.1,23.72,44.19,22.46,45.7,24.77,45.7,59,NULL,-3,-3,-5.5,0.57,10,NULL,178,-6,-6,-15,-2.83,13,104,121,181,10
5,賀賢,潘明輝,2,2,16,0,9,-16,33,9,0,NULL,NULL,0,4,4,1114,2,-3,-3,12,2,2,2,34,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,谷增,21,-4.75,-5.5,-3.25,1.5,2.25,-0.47,4,22.41,44.23,22.35,44.17,24.04,45.87,23.02,45.87,49,NULL,-0.75,0.5,-3.5,-2.21,8,NULL,73,-1.5,-2.5,1.75,-1.14,2,NULL,116,48,8
3,文家良,何澤堯,-10,3,-25,0,-29,-5,106,7,0,NULL,NULL,2,-4,-5,78,1,-2,-2,1114,0,-4,-5,56,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,縮程,3,-2.75,-3.5,-13.5,-10.75,-10,-0.86,14,24.15,47.65,24.45,47.95,23.03,45.48,25.14,45.48,45,NULL,-5.25,-4.25,-6.25,-0.58,12,縮程,101,-1.75,-3,-11.5,-1.38,14,133,117,239,11
5,羅富全,黃俊,6,0,-5,14,-3,8,49,8,0,NULL,NULL,-1,-3,-3,34,-4,-4,-4,56,-4,-6,-6,56,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,同程,21,-0.06,-0.75,-8,-7.94,-7.25,-1.32,10,24.16,46.82,23.98,46.64,24.55,46.97,24.17,46.97,45,NULL,-2,-5.5,-11.75,-1.71,13,田增,67,-1,-4,-13.75,-3.56,14,NULL,128,25,10
3,告東尼,田泰安,5,7,4,12,-12,16,3.7,11,0,NULL,NULL,0,1,1,12,0,3,3,56,0,0,0,12,NULL,22.6,NULL,NULL,NULL,FALSE,TRUE,FALSE,FALSE,FALSE,同程,35,-1.25,-0.75,2,3.25,2.75,-0.54,3,23.6,46.3,23.45,46.15,23.4,45.98,24.41,45.98,56,同程,-3,-2.75,-1.5,-0.46,3,同程,70,0.25,0.06,0.5,-1.93,8,NULL,132,4.3,2
7,徐雨石,周俊樂,-18,-5,-9,-6,-18,-4,13,10,0,NULL,NULL,0,5,5,1114,-1,8,8,910,1,9,9,1114,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,普通,10,-6.5,-9.5,-6,0.5,3.5,0.98,1,21.45,44.57,21.99,45.11,22.27,44.07,22.46,44.07,31,NULL,-8.25,-7.5,-2.5,-0.65,1,NULL,49,-6.75,-6.75,-0.25,-0.55,1,NULL,117,12,11
4,丁冠豪,蘇狄雄,-41,-3,-31,3,-19,4,21,5,0,NULL,NULL,0,-5,-5,56,0,3,3,34,0,-1,-1,34,22.3,NULL,NULL,NULL,23.1,TRUE,FALSE,FALSE,FALSE,TRUE,同程,161,-3,-3.75,-14.75,-11.75,-11,-2.31,11,23.76,46.53,24.99,47.76,22.86,46.16,23.87,46.16,189,同程,-3,-2.75,0.06,0.53,4,同程,202,-1.75,-3.5,-1.75,-1.32,6,NULL,124,7.3,12
4,約翰摩亞,波健士,11,0,4,-1,10,-1,6.7,4,0,NULL,NULL,-1,-1,-1,34,-3,1,1,34,-1,0,0,34,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,普通,18,-1.5,-2.5,-3.5,-2,-1,-0.62,6,23.15,45.35,22.82,45.02,23.06,44.01,22.83,44.01,38,田增,-0.25,-2,-1.5,-2.14,3,NULL,101,-1.5,-1,-1.75,-0.19,3,NULL,126,8,7
4,呂健威,潘頓,-5,2,7,4,-5,3,8.4,9,0,NULL,NULL,-2,-1,-2,910,0,0,8,910,4,0,-11,34,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,縮程,24,-4.75,-5.25,-7.75,-3,-2.5,-0.3,9,23.43,46.65,23.58,46.8,22.65,45.08,24.38,45.08,59,縮程,-7.5,-3.75,-0.5,-0.1,1,縮程,80,-0.06,-1,-8,-0.98,14,3.6,125,12,3
5,葉楚航,陳嘉熙,6,1,12,0,25,-10,9.7,2,0,NULL,NULL,0,-2,-2,12,-2,-3,-3,12,0,0,0,12,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,普通,18,1,1,-0.5,-1.5,-1.5,-0.73,5,22.98,45.02,22.8,44.84,24.03,45.35,22.75,45.35,35,谷增,0.06,-1.5,-6.75,-2.71,10,同程,56,1.25,1,2.75,0.18,4,NULL,116,9.5,4
4,何良,潘明輝,5,-2,3,0,-13,-7,7.4,7,0,NULL,NULL,2,4,4,910,-2,-1,7,1114,-1,2,2,78,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,普通,10,-7.75,-7.5,-3.75,4,3.75,-0.49,1,22.75,44.92,22.6,44.77,22.64,45.86,23.01,45.86,24,縮程,-5.5,-6,-3,0.58,3,NULL,49,-3.25,-4.75,-2.5,-0.95,5,3.6,117,11,6
4,姚本輝,梁家俊,-3,-2,-1,-2,11,-12,9,6,0,NULL,NULL,1,-2,-2,12,0,-2,-2,12,0,2,2,34,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,普通,14,-0.25,0.5,-1.5,-1.25,-2,-1.47,3,23.09,44.86,23.18,44.95,23.71,46.49,23.03,46.49,35,同程,1.25,0.75,-2.5,-0.99,6,同程,70,-1.75,-1.25,1,-0.85,6,NULL,119,4.3,5
4,霍利時,黎海榮,-19,1,-1,0,-13,3,86,12,0,NULL,NULL,0,3,7,1114,-1,0,-1,56,0,3,9,1114,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,普通,49,-9.5,-6,-3,6.5,3,-0.14,2,22.42,45.24,22.99,45.81,23.8,47.9,22.58,47.9,67,NULL,-2,-2.25,-3.75,0.3,7,NULL,87,-8.25,-6.75,-0.75,1.09,1,NULL,118,8.5,9
4,鄭俊偉,蔡明紹,14,-13,28,-15,22,3,12,3,0,NULL,NULL,1,8,8,910,0,3,3,78,1,0,-2,910,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,同程,21,-5.5,-5.5,0.06,5.56,5.56,0.28,1,22.26,44.77,21.84,44.35,23.33,46.22,23.75,46.22,38,NULL,-3.25,-4.25,-10,-0.89,4,縮程,59,-5.5,-3,-6.75,-1.03,9,34,117,46,8
4,韋達,何澤堯,0,3,9,4,13,-13,10,1,0,NULL,NULL,-1,0,0,34,0,2,2,56,-1,5,5,56,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,同程,21,-0.5,-1.75,-6.75,-6.25,-5,-0.9,9,23.73,46.47,23.73,46.47,23.22,45.8,23.17,45.8,56,同程,-3.5,-3.25,-2.5,-0.52,4,同程,70,-3,-3,0.75,-1.02,3,NULL,117,17,1
4,蔡約翰,史卓豐,-3,0,-1,8,-3,6,13,6,0,NULL,NULL,2,2,2,78,2,0,0,12,1,1,1,56,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,同程,21,-3,-2.75,-1.5,1.5,1.25,-0.61,6,23.04,45.56,23.13,45.65,23.75,45.67,22.91,45.67,56,同程,-1.25,0.5,1.5,-1.59,8,NULL,80,-2.5,-1.5,-2.25,-0.22,7,NULL,133,8.1,3
4,丁冠豪,周俊樂,17,-12,-19,-12,-5,-12,11,4,0,NULL,NULL,-1,-12,-12,12,-2,-8,-8,56,0,1,1,34,NULL,NULL,NULL,NULL,22.8,FALSE,FALSE,FALSE,FALSE,TRUE,普通,80,0.5,-0.75,-26.25,-26.75,-25.5,-3.91,14,26.85,49.64,26.34,49.13,24.24,44.75,21.98,44.75,196,田增,-1.25,-3,-14.75,-4.09,14,谷增,238,-1.75,-3,-1.5,-0.92,8,14,118,25,12
5,告東尼,田泰安,-1,0,1,14,4,1,12,1,0,NULL,NULL,0,2,2,1114,-1,-4,-4,34,-1,7,7,910,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,同程,21,-4.75,-5,-3.5,1.25,1.5,-0.51,5,23.08,45.68,23.11,45.71,22.81,44.98,22.76,44.98,52,NULL,-1.75,-3,-4.25,-0.22,8,同程,119,-4.75,-4.25,-0.75,-0.05,4,NULL,127,9.7,1
4,呂健威,潘頓,6,6,6,-7,16,-6,3.9,7,0,NULL,NULL,0,2,2,34,0,2,2,34,2,-3,-3,34,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,同程,21,-0.75,-1.5,0.06,0.81,1.56,-0.42,4,23.46,46.14,23.28,45.96,22.55,45.66,23.25,45.66,63,同程,-1.5,-1.75,1.75,0.35,2,同程,77,-1.5,-0.25,-2,-0.84,10,NULL,126,7.5,5
5,徐雨石,黃俊,-4,-11,-5,-6,0,-11,87,8,0,NULL,NULL,-1,-4,-4,34,1,-4,-4,56,2,-4,-4,56,NULL,NULL,NULL,NULL,21.8,FALSE,FALSE,FALSE,FALSE,TRUE,普通,31,-1.5,-2,-4,-2.5,-2,-1.22,9,22.71,44.65,22.83,44.77,23.49,45.23,23.17,45.23,147,NULL,-3.75,-3,-7.25,-1.93,12,同程,210,-5.5,-3.25,-5.75,-1.29,8,NULL,119,7.8,6
6,姚本輝,蘇狄雄,12,0,5,-7,-1,-7,11,2,0,6,23.6,0,1,1,56,-2,2,2,78,1,1,1,78,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,同程,21,-1.25,-2.25,-1,0.25,1.25,-0.44,7,23.52,46.24,23.16,45.88,22.62,44.6,21.88,44.6,31,NULL,-2.5,-3.25,-3,-0.85,3,NULL,87,-2.75,-8,-6,0.01,1,NULL,120,10,8
3,沈集成,蔡明紹,0,3,2,4,0,-13,8.1,12,0,6,23.1,-1,7,7,910,0,7,7,910,0,3,3,56,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,同程,21,-2.5,-3.5,-0.06,2.44,3.44,-0.08,2,22.89,45.61,22.89,45.61,22.9,45.14,22.45,45.14,56,同程,-5.25,-6,-1.5,-0.54,2,同程,91,-2.75,-2,-0.01,-0.39,6,NULL,120,2.9,4
