lr,ag,lc,dt,cr,rg,rc,tg,tc,cc,wd,ld,fd,dw,py,mt,mn,p1,lr,ag,lc,dt,cr,rg,rc,tg,tc,cc,wd,ld,fd,dw,py,mt,mn,p1,p2,pd,pf,wk1mc,wk2mc,w1,w2,w3,w4,w5,w1t,w2t,w3t,w4t,w5t,dc,lt,ll3,ll2,ll1,d2l,d1l,lbx,sr,adj1,adj8,ad1,ad8,iw,al,ldiv
L2,6,B,1800,B,g1,r15,g1,t2,0,-1,-6,9.3,6,0,0,0,-1,L2,6,B,1800,B,g1,r15,g1,t2,0,-1,-6,9.3,6,0,0,0,-1,0,-4,3,0,0,0,0,0,0,22.9,FALSE,FALSE,FALSE,FALSE,TRUE,gs,120,-2.5,-3.25,-6,-3.5,-2.75,0.45,8,22.88,46.35,22.9,46.37,0,120,8.1
L1,6,B,1800,B,g1,r15,g1,t2,0,-1,-3,9.3,6,0,0,0,0,L1,6,B,1800,B,g1,r15,g1,t2,0,-1,-3,9.3,6,0,0,0,0,1,3,9,0,0,0,0,0,0,22.9,FALSE,FALSE,FALSE,FALSE,TRUE,gz,15,-6.25,-6,-3.5,2.75,2.5,1.83,1,22.36,46.63,22.38,46.65,16.7,120,26
L2,5,B,1800,B,g3,r24,g2,t8,0,-2,7,10,7,0,7,23,0,L2,5,B,1800,B,g3,r24,g2,t8,0,-2,7,10,7,0,7,23,0,0,9,11,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,zc,116,-10,-9.75,-2.75,7.25,7,0.04,1,23.71,47.34,23.73,47.36,0,118,13
L1,5,B,1800,B,g3,r24,g2,t8,0,-2,3,10,7,0,7,23,0,L1,5,B,1800,B,g3,r24,g2,t8,0,-2,3,10,7,0,7,23,0,0,3,11,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,ts,96,-8.75,-4.75,-5.75,3,-1,0.3,6,22.2,44.68,22.24,44.72,0,118,10
L3,5,B,1800,B,g3,r24,g2,t8,0,-2,-4,10,7,0,7,23,0,L3,5,B,1800,B,g3,r24,g2,t8,0,-2,-4,10,7,0,7,23,0,0,0,5,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,dd,183,-5,-6.25,-13.75,-8.75,-7.5,-0.75,11,24.73,48.85,24.79,48.91,0,118,5.9
L1,4,B,1600,B,g2,r17,g2,t7,0,25,9,3.2,2,1,7,22.5,0,L1,4,B,1600,B,g2,r17,g2,t7,0,25,9,3.2,2,1,7,22.5,0,0,0,5,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,ts,81,-4.75,-3,-1.25,3.5,1.75,1.09,3,23.82,47.88,23.19,47.25,0,131,4.9
L2,4,B,1600,B,g2,r17,g2,t7,0,25,3,3.2,2,1,7,22.5,0,L2,4,B,1600,B,g2,r17,g2,t7,0,25,3,3.2,2,1,7,22.5,0,0,0,5,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,ts,92,-3.75,-3.5,-4.25,-0.5,-0.75,0.14,6,24.39,48.45,23.99,48.05,0,131,4
L3,4,B,1600,B,g2,r17,g2,t7,0,25,7,3.2,2,1,7,22.5,-3,L3,4,B,1600,B,g2,r17,g2,t7,0,25,7,3.2,2,1,7,22.5,-3,1,4,7,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,ts,123,-2.5,-3.25,-1.75,0.75,1.5,0.43,3,23.69,47.16,23.21,46.68,0,131,4
L3,8,B,1600,B,g2,r18,g4,t17,0,6,-1,7.4,7,1,0,0,-1,L3,8,B,1600,B,g2,r18,g4,t17,0,6,-1,7.4,7,1,0,0,-1,0,5,11,0,0,0,0,0,0,22.3,FALSE,FALSE,FALSE,FALSE,TRUE,tc,151,-11.25,-9,-6.5,4.75,2.5,-0.66,3,23.68,46.77,23.73,46.82,18.6,130,26
L1,8,B,1600,B,g2,r18,g4,t17,0,6,1,7.4,7,1,0,0,0,L1,8,B,1600,B,g2,r18,g4,t17,0,6,1,7.4,7,1,0,0,0,1,4,7,0,0,0,0,0,0,22.3,FALSE,FALSE,FALSE,FALSE,TRUE,tc,18,-3.5,-2.75,-1.75,1.75,1,0.88,2,22.8,46.31,22.65,46.16,12.6,130,20
L2,8,B,1600,B,g2,r18,g4,t17,0,6,1,7.4,7,1,0,0,0,L2,8,B,1600,B,g2,r18,g4,t17,0,6,1,7.4,7,1,0,0,0,0,6,11,0,0,0,0,0,0,22.3,FALSE,FALSE,FALSE,FALSE,TRUE,tc,130,-6.25,-5,-4.5,1.75,0.5,0.28,2,23.65,47.63,23.72,47.7,14.6,130,22
L1,7,B,1600,B,a3,r6,g5,t21,0,10,1,27,1,0,0,0,-1,L1,7,B,1600,B,a3,r6,g5,t21,0,10,1,27,1,0,0,0,-1,-1,3,11,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,gs,22,-7.25,-6.75,-10,-2.75,-3.25,0.51,9,23.71,47.66,23.46,47.41,0,125,36
L2,7,B,1600,B,a3,r6,g5,t21,0,10,-3,27,1,0,0,0,0,L2,7,B,1600,B,a3,r6,g5,t21,0,10,-3,27,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,ts,92,-6.25,-4,-5,1.25,-1,-0.23,7,23.95,47.69,23.9,47.64,27,125,54
L3,7,B,1600,B,a3,r6,g5,t21,0,10,1,27,1,0,0,0,0,L3,7,B,1600,B,a3,r6,g5,t21,0,10,1,27,1,0,0,0,0,1,1,7,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,gs,120,-8,-4.75,-4.5,3.5,0.25,0.11,6,24.15,48.26,24.02,48.13,0,125,22
L2,5,B,1600,B,g3,r24,g1,t2,0,4,-1,9.9,3,1,0,0,-1,L2,5,B,1600,B,g3,r24,g1,t2,0,4,-1,9.9,3,1,0,0,-1,8,8,11,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,tz,145,-4.75,-5.25,-4.5,0.25,0.75,-0.5,2,22.24,44.43,22.67,44.86,45.1,126,55
L1,5,B,1600,B,g3,r24,g1,t2,0,4,1,9.9,3,1,0,0,0,L1,5,B,1600,B,g3,r24,g1,t2,0,4,1,9.9,3,1,0,0,0,0,9,11,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,zc,109,-6.5,-5.75,-5.25,1.25,0.5,-0.09,3,23.16,46.11,23.06,46.01,0.1,126,10
L3,5,B,1600,B,g3,r24,g1,t2,0,4,0,9.9,3,1,0,0,0,L3,5,B,1600,B,g3,r24,g1,t2,0,4,0,9.9,3,1,0,0,0,0,0,5,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,dd,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0
L2,5,B,1600,B,a2,r4,g3,t13,0,16,-2,13,6,1,0,0,0,L2,5,B,1600,B,a2,r4,g3,t13,0,16,-2,13,6,1,0,0,0,-4,-4,5,0,0,0,0,0,0,23.3,FALSE,FALSE,FALSE,FALSE,TRUE,tz,88,-1.75,-2,-5.5,-3.75,-3.5,-0.63,9,23.69,46.43,23.32,46.06,55,125,68
L3,5,B,1600,B,a2,r4,g3,t13,-1,16,13,13,6,1,0,0,1,L3,5,B,1600,B,a2,r4,g3,t13,-1,16,13,13,6,1,0,0,1,-1,-9,5,0,0,0,0,0,0,23.3,FALSE,FALSE,FALSE,FALSE,TRUE,zc,165,-2.75,-4.5,-17,-14.25,-12.5,-2.43,14,25.54,48.75,25.96,49.17,375,125,388
L1,5,B,1600,B,a2,r4,g3,t13,0,16,2,13,6,1,0,0,0,L1,5,B,1600,B,a2,r4,g3,t13,0,16,2,13,6,1,0,0,0,0,0,5,0,0,0,0,0,0,23.3,FALSE,FALSE,FALSE,FALSE,TRUE,zc,18,-3.75,-2.5,-2.5,1.25,0,0.31,3,23.39,46.64,22.99,46.24,77,125,90
L3,7,B,1600,B,g1,r13,g2,t9,0,-23,2,4.1,5,1,0,0,3,L3,7,B,1600,B,g1,r13,g2,t9,0,-23,2,4.1,5,1,0,0,3,-2,5,7,0,4,0,24.9,0,0,23.2,FALSE,TRUE,FALSE,FALSE,TRUE,ts,123,-2.5,-2.5,-0.5,2,2,0.36,2,22.82,46.17,23.04,46.39,0,123,4.2
L2,7,B,1600,B,g1,r13,g2,t9,0,-23,0,4.1,5,1,0,0,4,L2,7,B,1600,B,g1,r13,g2,t9,0,-23,0,4.1,5,1,0,0,4,2,3,7,0,4,0,24.9,0,0,23.2,FALSE,TRUE,FALSE,FALSE,TRUE,ts,102,-2.75,-1.75,-2.25,0.5,-0.5,0.01,4,23.49,47.56,24.06,48.13,0,123,6.6
L1,7,B,1600,B,g1,r13,g2,t9,0,-23,1,4.1,5,1,0,0,0,L1,7,B,1600,B,g1,r13,g2,t9,0,-23,1,4.1,5,1,0,0,0,0,0,5,0,4,0,24.9,0,0,23.2,FALSE,TRUE,FALSE,FALSE,TRUE,ts,81,-7.75,-4.5,-1.5,6.25,3,0.87,1,22.4,46.22,22.97,46.79,0,123,8.7
L2,5,B,1600,B,g1,r15,g3,t12,0,4,-2,6.9,9,1,0,0,0,L2,5,B,1600,B,g1,r15,g3,t12,0,4,-2,6.9,9,1,0,0,0,0,0,5,0,0,0,0,0,0,22.2,FALSE,FALSE,FALSE,FALSE,TRUE,ts,81,-6.25,-4,-3.75,2.5,0.25,0.59,4,23.27,47.25,23.34,47.32,26.1,123,33
L3,5,B,1600,B,g1,r15,g3,t12,0,4,-3,6.9,9,1,0,0,-2,L3,5,B,1600,B,g1,r15,g3,t12,0,4,-3,6.9,9,1,0,0,-2,0,-6,5,0,0,0,0,0,0,22.2,FALSE,FALSE,FALSE,FALSE,TRUE,ts,123,-1.5,-2.5,-7.75,-6.25,-5.25,-0.62,11,24.08,47.59,24.06,47.57,7.1,123,14
L1,5,B,1600,B,g1,r15,g3,t12,0,4,-2,6.9,9,1,0,0,0,L1,5,B,1600,B,g1,r15,g3,t12,0,4,-2,6.9,9,1,0,0,0,0,1,7,0,0,0,0,0,0,22.2,FALSE,FALSE,FALSE,FALSE,TRUE,tc,18,-4,-4.5,-5,-1,-0.5,0.86,4,22.9,46.61,22.8,46.51,12.1,123,19
L3,7,B,1600,B,a4,r3,g4,t14,0,-38,-7,47,4,0,0,0,0,L3,7,B,1600,B,a4,r3,g4,t14,0,-38,-7,47,4,0,0,0,0,0,-2,1,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,gs,155,0.75,1.25,-1.25,-2,-2.5,-0.51,10,23.11,46.73,23.96,47.58,0,120,11
L1,7,B,1600,B,a4,r3,g4,t14,0,-38,-3,47,4,0,0,0,2,L1,7,B,1600,B,a4,r3,g4,t14,0,-38,-3,47,4,0,0,0,2,-1,-4,1,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,ts,102,-0.25,0.06,-3.5,-3.25,-3.56,-0.34,12,23.51,47.7,24.46,48.65,0,120,79
L2,7,B,1600,B,a4,r3,g4,t14,0,-38,-6,47,4,0,0,0,0,L2,7,B,1600,B,a4,r3,g4,t14,0,-38,-6,47,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,gs,134,-2.25,-12.75,-60,-57.75,-47.25,-15.4,12,40.24,66.08,41.09,66.93,0,120,6.5
L1,5,B,1600,B,g1,r14,g1,t1,0,-22,1,6.6,8,1,0,0,0,L1,5,B,1600,B,g1,r14,g1,t1,0,-22,1,6.6,8,1,0,0,0,0,0,5,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,ts,81,-0.5,-0.5,-11.75,-11.25,-11.25,-0.81,12,24.71,49.13,25.25,49.67,0,118,4.1
L2,5,B,1600,B,g1,r14,g1,t1,0,-22,-2,6.6,8,1,0,0,0,L2,5,B,1600,B,g1,r14,g1,t1,0,-22,-2,6.6,8,1,0,0,0,0,0,5,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,ts,92,-3,-1.75,-0.5,2.5,1.25,0.29,1,22.94,46.84,23.56,47.46,4.4,118,11
L3,5,B,1600,B,g1,r14,g1,t1,0,-22,2,6.6,8,1,0,0,-2,L3,5,B,1600,B,g1,r14,g1,t1,0,-22,2,6.6,8,1,0,0,-2,1,-2,3,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,tc,116,-1.25,-1.25,-1.75,-0.5,-0.5,-0.34,6,24.04,48.31,24.66,48.93,4.4,118,11
,,,,,,,,,,,,,,,,,,L2,5,A,1800,C+3,g1,r13,g1,t2,0,0,10,4.2,11,0,0,0,-1,-3,6,9,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,ts,80,-6.75,-5.75,-2,4.75,3.75,0.52,1,23.65,47.3,23.33,46.98,0,133,6
,,,,,,,,,,,,,,,,,,L1,5,A,1800,C+3,g1,r13,g1,t2,0,0,0,4.2,11,0,0,0,0,2,5,9,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,dd,3,-4.5,-4.25,-2,2.5,2.25,1.01,2,22.85,46.71,22.85,46.71,0,133,8.7
,,,,,,,,,,,,,,,,,,L3,5,A,1800,C+3,g1,r13,g1,t2,0,0,1,4.2,11,0,0,0,0,0,0,5,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,dd,119,-6.25,-5.75,-5.75,0.5,0,-0.74,4,25.07,49.44,25.13,49.5,9.8,133,14
,,,,,,,,,,,,,,,,,,L2,5,A,1800,C+3,g4,r30,g5,t21,-1,13,19,6.6,2,0,0,0,0,0,0,5,0,4,0,23.1,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,tc,105,-2.75,-4.25,-3.5,-0.75,0.75,0.36,8,24.52,48.82,24.32,48.62,27.4,131,34
,,,,,,,,,,,,,,,,,,L3,5,A,1800,C+3,g4,r30,g5,t21,-1,13,10,6.6,2,0,0,0,0,0,0,5,0,4,0,23.1,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,tc,126,-3.5,-6,-7,-3.5,-1,-0.14,9,25.24,49.8,24.9,49.46,55.4,131,62
,,,,,,,,,,,,,,,,,,L1,5,A,1800,C+3,g4,r30,g5,t21,0,13,-2,6.6,2,0,0,0,1,1,-3,1,0,4,0,23.1,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,ts,80,1.75,1,-2.25,-4,-3.25,-0.31,9,24.34,48.15,24.08,47.89,5.4,131,12
,,,,,,,,,,,,,,,,,,L1,5,A,1800,C+3,a1,r2,g3,t10,0,9,-12,9.5,3,1,0,0,0,-1,-2,1,0,0,0,0,0,22.5,0,FALSE,FALSE,FALSE,TRUE,FALSE,zc,17,0.75,-0.06,-1.25,-2,-1.19,-0.47,10,23.75,47.09,23.57,46.91,0,121,7.2
,,,,,,,,,,,,,,,,,,L3,5,A,1800,C+3,a1,r2,g3,t10,0,9,-11,9.5,3,1,0,0,0,0,-3,1,0,0,0,0,0,22.5,0,FALSE,FALSE,FALSE,TRUE,FALSE,zc,115,0.75,0.75,-0.5,-1.25,-1.25,-0.81,9,24.08,47.39,23.9,47.21,6.5,121,16
,,,,,,,,,,,,,,,,,,L2,5,A,1800,C+3,a1,r2,g3,t10,0,9,-11,9.5,3,1,0,0,-1,-4,-7,3,0,0,0,0,0,22.5,0,FALSE,FALSE,FALSE,TRUE,FALSE,zc,101,-1.75,-4,-24.5,-22.75,-20.5,-3.08,14,26.81,50.54,26.59,50.32,0,121,8.7
,,,,,,,,,,,,,,,,,,L1,5,A,1800,C+3,a4,r9,g5,t22,0,0,-9,10,7,0,0,0,0,-2,-3,1,0,0,0,0,0,22.9,0,FALSE,FALSE,FALSE,TRUE,FALSE,zc,7,1.5,-2.25,-5,-6.5,-2.75,-0.07,12,24.37,48.85,24.37,48.85,13,120,23
,,,,,,,,,,,,,,,,,,L3,5,A,1800,C+3,a4,r9,g5,t22,0,0,-10,10,7,0,0,0,0,-5,6,7,0,0,0,0,0,22.9,0,FALSE,FALSE,FALSE,TRUE,FALSE,zc,101,-4.5,-5,-6.25,-1.75,-1.25,-0.29,3,23.52,46.97,23.54,46.99,0,120,19
,,,,,,,,,,,,,,,,,,L2,5,A,1800,C+3,a4,r9,g5,t22,0,0,1,10,7,0,0,0,0,0,0,5,0,0,0,0,0,22.9,0,FALSE,FALSE,FALSE,TRUE,FALSE,tc,70,-0.75,-1.5,-1.25,-0.5,0.25,1.2,8,24.17,49.36,24.01,49.2,0,120,10
,,,,,,,,,,,,,,,,,,L1,6,A,1800,C+3,g1,r14,g5,t21,0,5,-3,7.4,10,1,0,0,3,1,-1,9,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,zc,17,-5,-4.5,-3.75,1.25,0.75,-0.23,5,23.53,46.79,23.43,46.69,7.6,127,15
,,,,,,,,,,,,,,,,,,L2,6,A,1800,C+3,g1,r14,g5,t21,0,5,-5,7.4,10,1,0,0,-1,-2,4,11,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,ts,80,-6,-7.5,-7.5,-1.5,0,0.31,8,23.86,47.91,23.64,47.69,0,127,5.4
,,,,,,,,,,,,,,,,,,L3,6,A,1800,C+3,g1,r14,g5,t21,0,5,1,7.4,10,1,0,0,0,0,0,5,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,dd,108,-5.25,-4,-6.75,-1.5,-2.75,-0.45,10,24.98,49.21,24.7,48.93,29.6,127,37
,,,,,,,,,,,,,,,,,,L3,6,A,1800,C+3,g3,r24,g4,t16,0,7,0,16,8,1,0,0,0,0,0,5,0,0,0,0,0,22.5,0,FALSE,FALSE,FALSE,TRUE,FALSE,dd,108,-6.5,-4.25,-3.5,3,0.75,-0.06,2,24.39,48.46,24.13,48.2,0,127,7.5
,,,,,,,,,,,,,,,,,,L2,6,A,1800,C+3,g3,r24,g4,t16,0,7,1,16,8,1,0,0,3,-1,3,7,0,0,0,0,0,22.5,0,FALSE,FALSE,FALSE,TRUE,FALSE,ts,80,-6.75,-3.75,-0.12,6.63,3.63,0.15,2,23.22,46.55,23.2,46.53,0,127,7
,,,,,,,,,,,,,,,,,,L1,6,A,1800,C+3,g3,r24,g4,t16,0,7,-2,16,8,1,0,0,-1,0,1,11,0,0,0,0,0,22.5,0,FALSE,FALSE,FALSE,TRUE,FALSE,zc,17,-6.5,-6.5,-5.5,1,1,-0.11,4,23.55,46.89,23.41,46.75,0,127,6
,,,,,,,,,,,,,,,,,,L1,6,A,1800,C+3,g1,r15,g3,t13,0,-16,-1,19,4,1,0,0,0,2,-1,11,0,0,0,0,0,22.7,0,FALSE,FALSE,FALSE,TRUE,FALSE,zc,10,-8.25,-4.5,-6.5,1.75,-2,-0.76,10,23.47,46.52,23.79,46.84,60,126,79
,,,,,,,,,,,,,,,,,,L2,6,A,1800,C+3,g1,r15,g3,t13,0,-16,-3,19,4,1,0,0,0,-1,-5,5,0,0,0,0,0,22.7,0,FALSE,FALSE,FALSE,TRUE,FALSE,zc,77,-3,-4.25,-8.25,-5.25,-4,0.21,10,23.71,48.47,24.49,49.25,0,126,17
,,,,,,,,,,,,,,,,,,L3,6,A,1800,C+3,g1,r15,g3,t13,0,-16,-6,19,4,1,0,0,-1,-2,-4,5,0,0,0,0,0,22.7,0,FALSE,FALSE,FALSE,TRUE,FALSE,zc,105,-3,-3.25,-8,-5,-4.75,-0.23,11,24.36,49.19,24.94,49.77,0,126,7.3
,,,,,,,,,,,,,,,,,,L1,5,A,1800,C+3,a4,r12,g5,t18,0,7,-3,36,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,tc,70,-6,-4.75,-3.5,2.5,1.25,1.41,3,23.66,48.65,23.52,48.51,84,124,120
